date,home_team,away_team,home_score,away_score,tournament,neutral_venue
2024-03-01,Trinidad and Tobago,Jamaica,0,1,Friendlies,False
2024-03-03,Trinidad and Tobago,Jamaica,0,0,Friendlies,False
2024-03-21,Russia,Serbia,4,0,Friendlies,False
2024-03-21,Malta,Slovenia,2,2,Friendlies,False
2024-03-21,Portugal,Sweden,5,2,Friendlies,False
2024-03-21,Italy,Venezuela,2,1,Friendlies,False
2024-03-21,Andorra,South Africa,1,1,Friendlies,False
2024-03-22,Ecuador,Guatemala,2,0,Friendlies,False
2024-03-22,Nigeria,Ghana,2,1,Friendlies,False
2024-03-22,Senegal,Gabon,3,0,Friendlies,False
2024-03-22,Hungary,Turkey,1,0,Friendlies,False
2024-03-22,Albania,Chile,0,3,Friendlies,False
2024-03-22,Netherlands,Scotland,4,0,Friendlies,False
2024-03-22,Egypt,New Zealand,1,0,Friendlies,False
2024-03-22,Spain,Colombia,0,1,Friendlies,False
2024-03-22,Algeria,Bolivia,3,2,Friendlies,False
2024-03-22,Morocco,Angola,1,0,Friendlies,False
2024-03-22,Mali,Mauritania,2,0,Friendlies,False
2024-03-23,Argentina,El Salvador,3,0,Friendlies,False
2024-03-23,Peru,Nicaragua,2,0,Friendlies,False
2024-03-23,Slovakia,Austria,0,2,Friendlies,False
2024-03-23,Rep. Of Ireland,Belgium,0,0,Friendlies,False
2024-03-23,Uruguay,Basque Country,1,1,Friendlies,False
2024-03-23,England,Brazil,0,1,Friendlies,False
2024-03-23,Denmark,Switzerland,0,0,Friendlies,False
2024-03-23,France,Germany,0,2,Friendlies,False
2024-03-23,Tunisia,Croatia,0,0,Friendlies,False
2024-03-24,Ecuador,Italy,0,2,Friendlies,False
2024-03-24,Guatemala,Venezuela,0,0,Friendlies,False
2024-03-25,Cyprus,Serbia,0,1,Friendlies,False
2024-03-25,Sweden,Albania,1,0,Friendlies,False
2024-03-25,Bolivia,Andorra,1,0,Friendlies,False
2024-03-26,Denmark,Faroe Islands,2,0,Friendlies,False
2024-03-26,Colombia,Romania,3,2,Friendlies,False
2024-03-26,Senegal,Benin,1,0,Friendlies,False
2024-03-26,Ivory Coast,Uruguay,2,1,Friendlies,False
2024-03-26,England,Belgium,2,2,Friendlies,False
2024-03-26,Germany,Netherlands,2,1,Friendlies,False
2024-03-26,Austria,Turkey,6,1,Friendlies,False
2024-03-26,Rep. Of Ireland,Switzerland,0,1,Friendlies,False
2024-03-26,Slovenia,Portugal,2,0,Friendlies,False
2024-03-26,Scotland,Northern Ireland,0,1,Friendlies,False
2024-03-26,France,Chile,3,2,Friendlies,False
2024-03-26,Egypt,Croatia,2,4,Friendlies,False
2024-03-26,Mali,Nigeria,2,0,Friendlies,False
2024-03-26,New Zealand,Tunisia,0,0,Friendlies,False
2024-03-26,Spain,Brazil,3,3,Friendlies,False
2024-03-26,Algeria,South Africa,3,3,Friendlies,False
2024-03-26,Morocco,Mauritania,0,0,Friendlies,False
2024-03-27,Peru,Dominican Republic,4,1,Friendlies,False
2024-03-27,El Salvador,Honduras,1,1,Friendlies,False
2024-03-27,Argentina,Costa Rica,3,1,Friendlies,False
2024-06-01,Mexico,Bolivia,1,0,Friendlies,False
2024-06-01,Costa Rica,Uruguay,0,0,Friendlies,False
2024-06-02,Indonesia,Tanzania,0,0,Friendlies,False
2024-06-03,Gibraltar,Scotland,0,2,Friendlies,False
2024-06-03,Croatia,FYR Macedonia,3,0,Friendlies,False
2024-06-03,Albania,Liechtenstein,3,0,Friendlies,False
2024-06-03,England,Bosnia & Herzegovina,3,0,Friendlies,False
2024-06-03,Germany,Ukraine,0,0,Friendlies,False
2024-06-04,Slovenia,Armenia,2,1,Friendlies,False
2024-06-04,Switzerland,Estonia,4,0,Friendlies,False
2024-06-04,Portugal,Finland,4,2,Friendlies,False
2024-06-04,Austria,Serbia,2,1,Friendlies,False
2024-06-04,Italy,Turkey,0,0,Friendlies,False
2024-06-05,Tunisia,Equatorial Guinea,1,0,World Cup - Qualification Africa,False
2024-06-05,Denmark,Sweden,2,1,Friendlies,False
2024-06-05,Belgium,Montenegro,2,0,Friendlies,False
2024-06-05,France,Luxembourg,3,0,Friendlies,False
2024-06-05,Spain,Andorra,5,0,Friendlies,False
2024-06-06,Senegal,Congo DR,1,1,World Cup - Qualification Africa,False
2024-06-06,Egypt,Burkina Faso,2,1,World Cup - Qualification Africa,False
2024-06-06,Mali,Ghana,1,2,World Cup - Qualification Africa,False
2024-06-06,Mexico,Uruguay,0,4,Friendlies,False
2024-06-06,Netherlands,Canada,4,0,Friendlies,False
2024-06-07,Nigeria,South Africa,1,1,World Cup - Qualification Africa,False
2024-06-07,Morocco,Zambia,2,1,World Cup - Qualification Africa,False
2024-06-07,Albania,Azerbaijan,3,1,Friendlies,False
2024-06-07,England,Iceland,0,1,Friendlies,False
2024-06-07,Germany,Greece,2,1,Friendlies,False
2024-06-07,Scotland,Finland,2,2,Friendlies,False
2024-06-08,Cameroon,Cape Verde Islands,4,1,World Cup - Qualification Africa,False
2024-06-08,Peru,Paraguay,0,0,Friendlies,False
2024-06-08,Slovenia,Bulgaria,1,1,Friendlies,False
2024-06-08,Sweden,Serbia,0,3,Friendlies,False
2024-06-08,Switzerland,Austria,1,1,Friendlies,False
2024-06-08,Portugal,Croatia,1,2,Friendlies,False
2024-06-08,Denmark,Norway,3,1,Friendlies,False
2024-06-08,Belgium,Luxembourg,3,0,Friendlies,False
2024-06-08,Spain,Northern Ireland,5,1,Friendlies,False
2024-06-08,USA,Colombia,1,5,Friendlies,False
2024-06-09,Mauritania,Senegal,0,1,World Cup - Qualification Africa,False
2024-06-09,Namibia,Tunisia,0,0,World Cup - Qualification Africa,False
2024-06-09,Mexico,Brazil,2,3,Friendlies,False
2024-06-09,Italy,Bosnia & Herzegovina,1,0,Friendlies,False
2024-06-09,France,Canada,0,0,Friendlies,False
2024-06-09,Argentina,Ecuador,1,0,Friendlies,False
2024-06-10,Guinea-Bissau,Egypt,1,1,World Cup - Qualification Africa,False
2024-06-10,Benin,Nigeria,2,1,World Cup - Qualification Africa,False
2024-06-10,Poland,Turkey,2,1,Friendlies,False
2024-06-10,Netherlands,Iceland,4,0,Friendlies,False
2024-06-11,Madagascar,Mali,0,0,World Cup - Qualification Africa,False
2024-06-11,South Africa,Zimbabwe,3,1,World Cup - Qualification Africa,False
2024-06-11,Congo,Morocco,0,6,World Cup - Qualification Africa,False
2024-06-11,Angola,Cameroon,1,1,World Cup - Qualification Africa,False
2024-06-11,Portugal,Rep. Of Ireland,3,0,Friendlies,False
2024-06-12,Chile,Paraguay,3,0,Friendlies,False
2024-06-12,USA,Brazil,1,1,Friendlies,False
2024-06-13,Ecuador,Bolivia,3,1,Friendlies,False
2024-06-14,Germany,Scotland,5,1,Euro Championship,True
2024-06-15,Hungary,Switzerland,1,3,Euro Championship,True
2024-06-15,Spain,Croatia,3,0,Euro Championship,True
2024-06-15,Italy,Albania,2,1,Euro Championship,True
2024-06-15,Argentina,Guatemala,4,1,Friendlies,False
2024-06-15,El Salvador,Peru,0,1,Friendlies,False
2024-06-15,Colombia,Bolivia,3,0,Friendlies,False
2024-06-16,Poland,Netherlands,1,2,Euro Championship,True
2024-06-16,Slovenia,Denmark,1,1,Euro Championship,True
2024-06-16,Serbia,England,0,1,Euro Championship,True
2024-06-16,Ecuador,Honduras,2,1,Friendlies,False
2024-06-16,Panama,Paraguay,0,1,Friendlies,False
2024-06-17,Belgium,Slovakia,0,1,Euro Championship,True
2024-06-17,Austria,France,0,1,Euro Championship,True
2024-06-18,Turkey,Georgia,3,1,Euro Championship,True
2024-06-18,Portugal,Czech Republic,2,1,Euro Championship,True
2024-06-19,Croatia,Albania,2,2,Euro Championship,True
2024-06-19,Germany,Hungary,2,0,Euro Championship,True
2024-06-19,Scotland,Switzerland,1,1,Euro Championship,True
2024-06-20,Slovenia,Serbia,1,1,Euro Championship,True
2024-06-20,Denmark,England,1,1,Euro Championship,True
2024-06-20,Spain,Italy,1,0,Euro Championship,True
2024-06-21,Poland,Austria,1,3,Euro Championship,True
2024-06-21,Netherlands,France,0,0,Euro Championship,True
2024-06-21,Argentina,Canada,2,0,Copa America,True
2024-06-22,Turkey,Portugal,0,3,Euro Championship,True
2024-06-22,Belgium,Romania,2,0,Euro Championship,True
2024-06-22,Peru,Chile,0,0,Copa America,True
2024-06-22,Ecuador,Venezuela,1,2,Copa America,True
2024-06-23,Switzerland,Germany,1,1,Euro Championship,True
2024-06-23,Scotland,Hungary,0,1,Euro Championship,True
2024-06-23,Mexico,Jamaica,1,0,Copa America,True
2024-06-23,USA,Bolivia,2,0,Copa America,True
2024-06-24,Croatia,Italy,1,1,Euro Championship,True
2024-06-24,Albania,Spain,0,1,Euro Championship,True
2024-06-24,Uruguay,Panama,3,1,Copa America,True
2024-06-24,Colombia,Paraguay,2,1,Copa America,True
2024-06-25,France,Poland,1,1,Euro Championship,True
2024-06-25,Netherlands,Austria,2,3,Euro Championship,True
2024-06-25,England,Slovenia,0,0,Euro Championship,True
2024-06-25,Denmark,Serbia,0,0,Euro Championship,True
2024-06-25,Brazil,Costa Rica,0,0,Copa America,True
2024-06-26,Ukraine,Belgium,0,0,Euro Championship,True
2024-06-26,Czech Republic,Turkey,1,2,Euro Championship,True
2024-06-26,Georgia,Portugal,2,0,Euro Championship,True
2024-06-26,Chile,Argentina,0,1,Copa America,True
2024-06-26,Peru,Canada,0,1,Copa America,True
2024-06-27,Venezuela,Mexico,1,0,Copa America,True
2024-06-27,Ecuador,Jamaica,3,1,Copa America,True
2024-06-28,Uruguay,Bolivia,5,0,Copa America,True
2024-06-28,Panama,USA,2,1,Copa America,True
2024-06-29,Switzerland,Italy,2,0,Euro Championship,True
2024-06-29,Germany,Denmark,2,0,Euro Championship,True
2024-06-29,Paraguay,Brazil,1,4,Copa America,True
2024-06-29,Colombia,Costa Rica,3,0,Copa America,True
2024-06-30,England,Slovakia,2,1,Euro Championship,True
2024-06-30,Spain,Georgia,4,1,Euro Championship,True
2024-06-30,Argentina,Peru,2,0,Copa America,True
2024-06-30,Canada,Chile,0,0,Copa America,True
2024-07-01,France,Belgium,1,0,Euro Championship,True
2024-07-01,Portugal,Slovenia,0,0,Euro Championship,True
2024-07-01,Mexico,Ecuador,0,0,Copa America,True
2024-07-01,Jamaica,Venezuela,0,3,Copa America,True
2024-07-02,Romania,Netherlands,0,3,Euro Championship,True
2024-07-02,Austria,Turkey,1,2,Euro Championship,True
2024-07-02,Bolivia,Panama,1,3,Copa America,True
2024-07-02,USA,Uruguay,0,1,Copa America,True
2024-07-03,Brazil,Colombia,1,1,Copa America,True
2024-07-03,Costa Rica,Paraguay,2,1,Copa America,True
2024-07-05,Spain,Germany,2,1,Euro Championship,True
2024-07-05,Portugal,France,0,0,Euro Championship,True
2024-07-05,Argentina,Ecuador,1,1,Copa America,True
2024-07-06,England,Switzerland,1,1,Euro Championship,True
2024-07-06,Netherlands,Turkey,2,1,Euro Championship,True
2024-07-06,Venezuela,Canada,1,1,Copa America,True
2024-07-06,Colombia,Panama,5,0,Copa America,True
2024-07-07,Uruguay,Brazil,0,0,Copa America,True
2024-07-09,Spain,France,2,1,Euro Championship,True
2024-07-10,Netherlands,England,1,2,Euro Championship,True
2024-07-10,Argentina,Canada,2,0,Copa America,True
2024-07-11,Uruguay,Colombia,0,1,Copa America,True
2024-07-14,Spain,England,2,1,Euro Championship,True
2024-07-14,Canada,Uruguay,2,2,Copa America,True
2024-07-15,Argentina,Colombia,1,0,Copa America,True
2024-09-01,Uruguay,Guatemala,1,1,Friendlies,False
2024-09-05,Serbia,Spain,0,0,UEFA Nations League,False
2024-09-05,Denmark,Switzerland,2,0,UEFA Nations League,False
2024-09-05,Portugal,Croatia,2,1,UEFA Nations League,False
2024-09-05,Scotland,Poland,2,3,UEFA Nations League,False
2024-09-06,Belgium,Israel,3,1,UEFA Nations League,False
2024-09-06,France,Italy,1,3,UEFA Nations League,False
2024-09-06,Wales,Turkey,0,0,UEFA Nations League,False
2024-09-06,Slovenia,Austria,1,1,UEFA Nations League,False
2024-09-07,Rep. Of Ireland,England,0,2,UEFA Nations League,False
2024-09-07,Germany,Hungary,5,0,UEFA Nations League,False
2024-09-07,Ukraine,Albania,1,2,UEFA Nations League,False
2024-09-07,Netherlands,Bosnia & Herzegovina,5,2,UEFA Nations League,False
2024-09-07,USA,Canada,1,2,Friendlies,False
2024-09-08,Denmark,Serbia,2,0,UEFA Nations League,False
2024-09-08,Croatia,Poland,1,0,UEFA Nations League,False
2024-09-08,Switzerland,Spain,1,4,UEFA Nations League,False
2024-09-08,Portugal,Scotland,2,1,UEFA Nations League,False
2024-09-08,Mexico,New Zealand,3,0,Friendlies,False
2024-09-09,France,Belgium,2,0,UEFA Nations League,False
2024-09-09,Turkey,Iceland,3,1,UEFA Nations League,False
2024-09-09,Norway,Austria,2,1,UEFA Nations League,False
2024-09-09,Slovenia,Kazakhstan,3,0,UEFA Nations League,False
2024-09-09,Israel,Italy,1,2,UEFA Nations League,False
2024-09-10,England,Finland,2,0,UEFA Nations League,False
2024-09-10,Albania,Georgia,0,1,UEFA Nations League,False
2024-09-10,Netherlands,Germany,2,2,UEFA Nations League,False
2024-09-10,USA,New Zealand,1,1,Friendlies,False
2024-09-11,Mexico,Canada,0,0,Friendlies,False
2024-10-10,England,Greece,1,2,UEFA Nations League,False
2024-10-10,Italy,Belgium,2,2,UEFA Nations League,False
2024-10-10,Austria,Kazakhstan,4,0,UEFA Nations League,False
2024-10-10,Norway,Slovenia,3,0,UEFA Nations League,False
2024-10-10,Israel,France,1,4,UEFA Nations League,False
2024-10-11,Hungary,Netherlands,1,1,UEFA Nations League,False
2024-10-11,Czech Republic,Albania,2,0,UEFA Nations League,False
2024-10-11,Turkey,Montenegro,1,0,UEFA Nations League,False
2024-10-11,Bosnia & Herzegovina,Germany,1,2,UEFA Nations League,False
2024-10-12,Croatia,Scotland,2,1,UEFA Nations League,False
2024-10-12,Spain,Denmark,1,0,UEFA Nations League,False
2024-10-12,Serbia,Switzerland,2,0,UEFA Nations League,False
2024-10-12,Poland,Portugal,1,3,UEFA Nations League,False
2024-10-13,Kazakhstan,Slovenia,0,1,UEFA Nations League,False
2024-10-13,Finland,England,1,3,UEFA Nations League,False
2024-10-13,Austria,Norway,5,1,UEFA Nations League,False
2024-10-13,USA,Panama,2,0,Friendlies,False
2024-10-14,Georgia,Albania,0,1,UEFA Nations League,False
2024-10-14,Belgium,France,1,2,UEFA Nations League,False
2024-10-14,Iceland,Turkey,2,4,UEFA Nations League,False
2024-10-14,Germany,Netherlands,1,0,UEFA Nations League,False
2024-10-14,Italy,Israel,4,1,UEFA Nations League,False
2024-10-14,New Zealand,Malaysia,4,0,Friendlies,False
2024-10-15,Spain,Serbia,3,0,UEFA Nations League,False
2024-10-15,Switzerland,Denmark,2,2,UEFA Nations League,False
2024-10-15,Poland,Croatia,3,3,UEFA Nations League,False
2024-10-15,Scotland,Portugal,0,0,UEFA Nations League,False
2024-10-15,Canada,Panama,2,1,Friendlies,False
2024-10-16,Mexico,USA,2,0,Friendlies,False
2024-11-14,Kazakhstan,Austria,0,2,UEFA Nations League,False
2024-11-14,Belgium,Italy,0,1,UEFA Nations League,False
2024-11-14,France,Israel,0,0,UEFA Nations League,False
2024-11-14,Slovenia,Norway,1,4,UEFA Nations League,False
2024-11-14,Greece,England,0,3,UEFA Nations League,False
2024-11-15,Switzerland,Serbia,1,1,UEFA Nations League,False
2024-11-15,Denmark,Spain,1,2,UEFA Nations League,False
2024-11-15,Portugal,Poland,5,1,UEFA Nations League,False
2024-11-15,Scotland,Croatia,1,0,UEFA Nations League,False
2024-11-16,Turkey,Wales,0,0,UEFA Nations League,False
2024-11-16,Germany,Bosnia & Herzegovina,7,0,UEFA Nations League,False
2024-11-16,Albania,Czech Republic,0,0,UEFA Nations League,False
2024-11-16,Netherlands,Hungary,4,0,UEFA Nations League,False
2024-11-17,England,Rep. Of Ireland,5,0,UEFA Nations League,False
2024-11-17,Austria,Slovenia,1,1,UEFA Nations League,False
2024-11-17,Italy,France,1,3,UEFA Nations League,False
2024-11-17,Israel,Belgium,1,0,UEFA Nations League,False
2024-11-18,Croatia,Portugal,1,1,UEFA Nations League,False
2024-11-18,Spain,Switzerland,3,2,UEFA Nations League,False
2024-11-18,Serbia,Denmark,0,0,UEFA Nations League,False
2024-11-18,Poland,Scotland,1,2,UEFA Nations League,False
2024-11-19,Hungary,Germany,1,1,UEFA Nations League,False
2024-11-19,Albania,Ukraine,1,2,UEFA Nations League,False
2024-11-19,Montenegro,Turkey,3,1,UEFA Nations League,False
2024-11-19,Bosnia & Herzegovina,Netherlands,1,1,UEFA Nations League,False
2024-12-17,Saudi Arabia,Trinidad and Tobago,3,1,Friendlies,False
2025-03-19,Liberia,Tunisia,0,1,World Cup - Qualification Africa,False
2025-03-19,Eswatini,Cameroon,0,0,World Cup - Qualification Africa,False
2025-03-20,Comoros,Mali,0,3,World Cup - Qualification Africa,False
2025-03-20,Turkey,Hungary,3,1,UEFA Nations League,False
2025-03-20,Croatia,France,2,0,UEFA Nations League,False
2025-03-20,Denmark,Portugal,1,0,UEFA Nations League,False
2025-03-20,Italy,Germany,1,2,UEFA Nations League,False
2025-03-20,Ukraine,Belgium,3,1,UEFA Nations League,False
2025-03-20,Slovakia,Slovenia,0,0,UEFA Nations League,False
2025-03-20,Austria,Serbia,1,1,UEFA Nations League,False
2025-03-20,Greece,Scotland,0,1,UEFA Nations League,False
2025-03-20,Netherlands,Spain,2,2,UEFA Nations League,False
2025-03-21,Rwanda,Nigeria,0,2,World Cup - Qualification Africa,False
2025-03-21,Ethiopia,Egypt,0,2,World Cup - Qualification Africa,False
2025-03-21,Niger,Morocco,1,2,World Cup - Qualification Africa,False
2025-03-22,Sudan,Senegal,0,0,World Cup - Qualification Africa,False
2025-03-23,Serbia,Austria,2,0,UEFA Nations League,False
2025-03-23,Hungary,Turkey,0,3,UEFA Nations League,False
2025-03-23,Slovenia,Slovakia,1,0,UEFA Nations League,False
2025-03-23,Scotland,Greece,0,3,UEFA Nations League,False
2025-03-23,Belgium,Ukraine,3,0,UEFA Nations League,False
2025-03-23,France,Croatia,2,0,UEFA Nations League,False
2025-03-23,Spain,Netherlands,3,3,UEFA Nations League,False
2025-03-23,Germany,Italy,3,3,UEFA Nations League,False
2025-03-23,Portugal,Denmark,5,2,UEFA Nations League,False
2025-03-24,Central African Republic,Mali,0,0,World Cup - Qualification Africa,False
2025-03-24,Tunisia,Malawi,2,0,World Cup - Qualification Africa,False
2025-03-25,Nigeria,Zimbabwe,1,1,World Cup - Qualification Africa,False
2025-03-25,Benin,South Africa,0,2,World Cup - Qualification Africa,False
2025-03-25,Egypt,Sierra Leone,1,0,World Cup - Qualification Africa,False
2025-03-25,Cameroon,Libya,3,1,World Cup - Qualification Africa,False
2025-03-25,Senegal,Togo,2,0,World Cup - Qualification Africa,False
2025-03-25,Morocco,Tanzania,2,0,World Cup - Qualification Africa,False
2025-06-04,Germany,Portugal,1,2,UEFA Nations League,False
2025-06-05,Spain,France,5,4,UEFA Nations League,False
2025-06-08,Germany,France,0,2,UEFA Nations League,False
2025-06-08,Portugal,Spain,2,2,UEFA Nations League,False
2025-09-04,Tunisia,Liberia,3,0,World Cup - Qualification Africa,False
2025-09-04,Mali,Comoros,3,0,World Cup - Qualification Africa,False
2025-09-04,Cameroon,Eswatini,3,0,World Cup - Qualification Africa,False
2025-09-05,Lesotho,South Africa,0,3,World Cup - Qualification Africa,False
2025-09-05,Senegal,Sudan,2,0,World Cup - Qualification Africa,False
2025-09-05,Morocco,Niger,5,0,World Cup - Qualification Africa,False
2025-09-05,Egypt,Ethiopia,2,0,World Cup - Qualification Africa,False
2025-09-06,Nigeria,Rwanda,1,0,World Cup - Qualification Africa,False
2025-09-08,Zambia,Morocco,0,2,World Cup - Qualification Africa,False
2025-09-08,Equatorial Guinea,Tunisia,0,1,World Cup - Qualification Africa,False
2025-09-08,Ghana,Mali,1,0,World Cup - Qualification Africa,False
2025-09-09,Burkina Faso,Egypt,0,0,World Cup - Qualification Africa,False
2025-09-09,Congo DR,Senegal,2,3,World Cup - Qualification Africa,False
2025-09-09,South Africa,Nigeria,1,1,World Cup - Qualification Africa,False
2025-09-09,Cape Verde Islands,Cameroon,1,0,World Cup - Qualification Africa,False
2025-10-08,Mauritius,Cameroon,0,2,World Cup - Qualification Africa,False
2025-10-08,Chad,Mali,0,2,World Cup - Qualification Africa,False
2025-10-08,Djibouti,Egypt,0,3,World Cup - Qualification Africa,False
2025-10-10,South Sudan,Senegal,0,5,World Cup - Qualification Africa,False
2025-10-10,Sao Tome and Principe,Tunisia,0,6,World Cup - Qualification Africa,False
2025-10-10,Lesotho,Nigeria,1,2,World Cup - Qualification Africa,False
2025-10-10,Zimbabwe,South Africa,0,0,World Cup - Qualification Africa,False
2025-10-12,Egypt,Guinea-Bissau,1,0,World Cup - Qualification Africa,False
2025-10-12,Mali,Madagascar,4,1,World Cup - Qualification Africa,False
2025-10-13,Tunisia,Namibia,3,0,World Cup - Qualification Africa,False
2025-10-13,Cameroon,Angola,0,0,World Cup - Qualification Africa,False
2025-10-14,Nigeria,Benin,4,0,World Cup - Qualification Africa,False
2025-10-14,South Africa,Rwanda,3,0,World Cup - Qualification Africa,False
2025-10-14,Senegal,Mauritania,4,0,World Cup - Qualification Africa,False
2025-10-14,Morocco,Congo,1,0,World Cup - Qualification Africa,False
2025-11-13,Nigeria,Gabon,4,1,World Cup - Qualification Africa,False
2025-11-13,Cameroon,Congo DR,0,1,World Cup - Qualification Africa,False
2025-11-16,Nigeria,Congo DR,1,1,World Cup - Qualification Africa,False
